id,khabar-gozari,c-comment,tag,TF-IDF,TF,IDF,KhabarGozaryMatch,TimeDiff,row id,MaxID,MacIndex
1127859,Khabaronline,107,off-topic,0,0,0,1,0,0,1127859,0
928542,Tabnak,0,off-topic,0.987102207,0.997493734,0.994554119,0,76680,1,1127859,0
928852,Tabnak,1,off-topic,0.470594267,0.672802421,0.626322612,0,204480,2,1127859,0
156511,Fardanews,71,off-topic,0.992867489,0.992650283,0.996546059,0,856920,3,1127859,0
930846,Tabnak,0,off-topic,0.156446665,0.347226331,0.159501036,1,978960,4,928852,2
1140826,Khabaronline,1,off-topic,0.072531397,0.179744132,0.05484955,0,4918380,5,930846,4
1141599,Khabaronline,110,new,0.089175157,0.228385068,0.079642046,0,6402360,6,928852,2
163323,Fardanews,47,old,0.380084227,0.605903164,0.39307885,0,3600,7,1141599,6
1141618,Khabaronline,187,new,0.495691985,0.652430312,0.525186524,0,7740,8,163323,7
1141631,Khabaronline,446,new,0.389999059,0.603856222,0.407154345,1,15900,9,1141599,6
943361,Tabnak,0,old,0.914326869,0.926965164,0.92062402,0,5280,10,1141618,8
1141659,Khabaronline,145,new,0.361097813,0.672341789,0.494177386,1,10080,11,1141631,9
943385,Tabnak,0,old,0.982402275,0.960934072,0.968462511,0,22800,12,163323,7
163358,Fardanews,47,old,0.984485005,0.996968771,0.991294604,0,11220,13,1141631,9
943445,Tabnak,121,new,0.564189676,0.786431312,0.666797511,0,39180,14,1141618,8
1141744,Khabaronline,50,old,0.59168708,0.724603167,0.521504405,0,65100,15,943361,10
163378,Fardanews,2,tahlil,0.079855426,0.357287971,0.184825157,0,5508060,16,930846,4
163388,Fardanews,0,off-topic,0.06087672,0.237892571,0.07757508,0,37320,17,943445,14
943491,Tabnak,0,off-topic,0.995994053,0.999093792,0.997257074,0,1020,18,163388,17
1141752,Khabaronline,136,new,0.203700631,0.574363964,0.310234404,0,62760,19,163358,13
163393,Fardanews,99,old,0.959127338,0.967916333,0.959499821,0,78660,20,1141618,8
163395,Fardanews,26,tahlil,0.123910575,0.371271163,0.138511346,1,5940,21,163378,16
943508,Tabnak,0,new,0.392186582,0.605046289,0.428678832,1,41460,22,943445,14
943506,Tabnak,10,old,0.974769174,0.967269545,0.980138829,1,360,23,943508,22
163402,Fardanews,253,old,0.906708108,0.96061689,0.915335437,0,2640,24,1141752,19
943523,Tabnak,0,off-topic,0.293008063,0.425862503,0.251581103,0,9540,25,163378,16
943545,Tabnak,0,tahlil,1,1,1,0,6060,26,163395,21
943549,Tabnak,0,old,0.560217952,0.676577408,0.598579588,1,46680,27,943445,14
1141775,Khabaronline,73,new,0.363703579,0.65485749,0.466958724,0,7500,28,943549,27
943593,Tabnak,0,old,0.4802435,0.625917457,0.506358541,1,10260,29,943549,27
943601,Tabnak,48,new,0.399506196,0.599178287,0.447931735,0,82920,30,1141659,11
1141800,Khabaronline,18,old,0.890164788,0.931489264,0.90334526,0,1560,31,943593,29
1141798,Khabaronline,93,old,0.369535894,0.651474909,0.45042058,0,840,32,943601,30
1141806,Khabaronline,413,new,0.603345572,0.725794851,0.626358161,0,3120,33,943593,29
1141829,Khabaronline,130,off-topic,0.083562612,0.314970394,0.106919202,0,70560,34,943445,14
1141838,Khabaronline,46,new,0.384710068,0.624442711,0.519883061,1,98640,35,1141659,11
163472,Fardanews,25,old,0.956654525,0.974242679,0.969466882,0,13740,36,1141838,35
1141863,Khabaronline,46,off-topic,0.281231137,0.54791725,0.40617254,0,121140,37,943445,14
943718,Tabnak,0,off-topic,0.150434017,0.313091098,0.173988242,1,88440,38,943491,18
943776,Tabnak,0,new,0.173163333,0.484939895,0.208154725,0,90120,39,163402,24
1141920,Khabaronline,0,new,0.110502918,0.312652173,0.132271456,1,105480,40,1141744,15
1141930,Khabaronline,20,off-topic,0.130946209,0.36234284,0.18362523,0,138300,41,943445,14
163537,Fardanews,8,off-topic,0.796388497,0.861703187,0.770510091,0,3840,42,1141930,41
1141952,Khabaronline,4,off-topic,0.214435881,0.489916148,0.253121661,0,142680,43,943445,14
1141942,Khabaronline,17,off-topic,0.146211273,0.414165208,0.215388368,0,660,44,163537,42
1141958,Khabaronline,3,off-topic,0.324361284,0.442075415,0.335034279,1,6540,45,1141920,40
943851,Tabnak,0,off-topic,0.910904144,0.942291676,0.919773179,0,1020,46,1141958,45
943863,Tabnak,0,off-topic,0.906288574,0.926948371,0.909048301,0,3840,47,163537,42
1142008,Khabaronline,96,new,0.111840109,0.21728995,0.108622396,0,156780,48,943445,14
163595,Fardanews,92,new,0.253948642,0.509243549,0.324437348,0,178260,49,943445,14
1142054,Khabaronline,45,off-topic,0.290609632,0.620630987,0.339169025,1,87720,50,1141863,37
