id,khabar-gozari,c-comment,tag,score
1127859,Khabaronline,107,off-topic,0
928542,Tabnak,0,off-topic,0.987102207
928852,Tabnak,1,off-topic,0.470594267
156511,Fardanews,71,off-topic,0.992867489
930846,Tabnak,0,off-topic,0.156446665
1140826,Khabaronline,1,off-topic,0.072531397
1141599,Khabaronline,110,new,0.089175157
163323,Fardanews,47,old,0.380084227
1141618,Khabaronline,187,old,0.495691985
1141631,Khabaronline,446,old,0.389999059
943361,Tabnak,0,old,0.914326869
1141659,Khabaronline,145,new,0.361097813
943385,Tabnak,0,old,0.982402275
163358,Fardanews,47,old,0.984485005
943445,Tabnak,121,new,0.564189676
1141744,Khabaronline,50,old,0.59168708
163378,Fardanews,2,tahlil,0.079855426
163388,Fardanews,0,off-topic,0.06087672
943491,Tabnak,0,off-topic,0.995994053
1141752,Khabaronline,136,new,0.203700631
163393,Fardanews,99,old,0.959127338
163395,Fardanews,26,tahlil,0.123910575
943508,Tabnak,0,new,0.392186582
943506,Tabnak,10,old,0.974769174
163402,Fardanews,253,old,0.906708108
943523,Tabnak,0,off-topic,0.293008063
943545,Tabnak,0,tahlil,1
943549,Tabnak,0,old,0.560217952
1141775,Khabaronline,73,new,0.363703579
943593,Tabnak,0,old,0.4802435
943601,Tabnak,48,new,0.399506196
1141800,Khabaronline,18,old,0.890164788
1141798,Khabaronline,93,old,0.369535894
1141806,Khabaronline,413,old,0.603345572
1141829,Khabaronline,130,off-topic,0.083562612
1141838,Khabaronline,46,old,0.384710068
163472,Fardanews,25,old,0.956654525
1141863,Khabaronline,46,off-topic,0.281231137
943718,Tabnak,0,off-topic,0.150434017
943776,Tabnak,0,new,0.173163333
1141920,Khabaronline,0,new,0.110502918
1141930,Khabaronline,20,off-topic,0.130946209
163537,Fardanews,8,off-topic,0.796388497
1141952,Khabaronline,4,off-topic,0.214435881
1141942,Khabaronline,17,off-topic,0.146211273
1141958,Khabaronline,3,off-topic,0.324361284
943851,Tabnak,0,off-topic,0.910904144
943863,Tabnak,0,off-topic,0.906288574
1142008,Khabaronline,96,old,0.111840109
163595,Fardanews,92,new,0.253948642
1142054,Khabaronline,45,off-topic,0.290609632
944012,Tabnak,3,new,0.297282056
944027,Tabnak,0,off-topic,0.398291208
944099,Tabnak,0,old,0.204022442
1142134,Khabaronline,3,old,0.285889763
1142140,Khabaronline,8,new,0.40095847
1142151,Khabaronline,42,off-topic,0.379295168
163680,Fardanews,0,off-topic,0.996987112
944196,Tabnak,0,off-topic,1
944236,Tabnak,0,off-topic,0.21324318
163703,Fardanews,7,new,0.212154063
1142209,Khabaronline,11,off-topic,0.347581089
944271,Tabnak,0,old,0.981318031
163711,Fardanews,0,off-topic,0.163333594
944287,Tabnak,0,off-topic,0.996128354
944301,Tabnak,0,old,1
944303,Tabnak,0,off-topic,0.191655362
944346,Tabnak,0,new,0.274560582
163749,Fardanews,2,old,0.389797226
1142253,Khabaronline,81,old,0.853888081
944367,Tabnak,0,old,0.990007674
1142294,Khabaronline,197,old,0.166449553
1142295,Khabaronline,39,old,0.948921201
1142358,Khabaronline,51,old,0.290661814
163797,Fardanews,2,off-topic,0.188930665
1142425,Khabaronline,102,new,0.257327047
944561,Tabnak,0,old,0.886377139
944569,Tabnak,27,old,0.992997531
163832,Fardanews,53,old,0.999248574
944587,Tabnak,0,old,1
163844,Fardanews,5,off-topic,0.202516799
1142453,Khabaronline,3,off-topic,0.730855757
944641,Tabnak,0,off-topic,0.997495679
944651,Tabnak,0,off-topic,1
1142498,Khabaronline,2,off-topic,0.168641257
944687,Tabnak,0,off-topic,0.34078979
1142518,Khabaronline,1,off-topic,0.655352124
1142560,Khabaronline,4,off-topic,0.186894287
944820,Tabnak,0,new,0.216595299
1142618,Khabaronline,11,old,0.299429269
1142667,Khabaronline,0,off-topic,0.569049885
163958,Fardanews,1,off-topic,0.336953852
1142682,Khabaronline,12,off-topic,0.714354583
1142686,Khabaronline,78,new,0.253720442
1142606,Khabaronline,20,tahlil,0.184508423
1142712,Khabaronline,9,off-topic,0.505899247
945106,Tabnak,0,off-topic,0.168914252
164068,Fardanews,49,new,0.187387839
1142866,Khabaronline,1,off-topic,0.249619583
1142886,Khabaronline,0,off-topic,0.0941013
164084,Fardanews,0,off-topic,0.268508884
945194,Tabnak,0,off-topic,0.543736504
1142905,Khabaronline,1,off-topic,0.555141526
164126,Fardanews,0,off-topic,0.252509369
945305,Tabnak,0,off-topic,0.39699201
945346,Tabnak,0,off-topic,0.07373414
945427,Tabnak,0,new,0.302901239
1143086,Khabaronline,62,old,0.769564083
1143118,Khabaronline,20,off-topic,0.187495044
945578,Tabnak,0,off-topic,0.417291963
945610,Tabnak,0,off-topic,0.153603306
1143280,Khabaronline,30,new,0.174996729
945775,Tabnak,0,tahlil,0.44873185
1143102,Khabaronline,12,off-topic,0.378974941
945806,Tabnak,0,off-topic,0.306941687
1143372,Khabaronline,0,off-topic,0.128762076
164463,Fardanews,1,old,0.199047038
164503,Fardanews,23,new,0.073304953
946060,Tabnak,0,old,1
946079,Tabnak,0,off-topic,0.122687644
164530,Fardanews,7,off-topic,0.966471838
164533,Fardanews,1,off-topic,0.938362139
946147,Tabnak,0,off-topic,0.091442359
1143687,Khabaronline,6,off-topic,0.323039411
1143634,Khabaronline,7,off-topic,0.261520981
164550,Fardanews,6,off-topic,0.228692315
1143711,Khabaronline,5,off-topic,0.371949558
946397,Tabnak,0,off-topic,0.997048015
1144106,Khabaronline,5,off-topic,0.134187994
946787,Tabnak,0,off-topic,1
946803,Tabnak,0,off-topic,0.222909103
947514,Tabnak,0,new,0.641422224
165257,Fardanews,1,old,0.969526094
947529,Tabnak,0,old,0.98559816
1144651,Khabaronline,0,old,0.982147299
947598,Tabnak,0,old,0.194860823
165279,Fardanews,4,old,0.990970171
947637,Tabnak,0,old,0.998944253
1144720,Khabaronline,6,old,0.996715081
947667,Tabnak,0,tahlil,0.265600197
1144804,Khabaronline,57,new,0.340807593
947728,Tabnak,0,old,0.925253201
947765,Tabnak,0,off-topic,0.267110766
165550,Fardanews,46,off-topic,0.188137488
948230,Tabnak,0,off-topic,0.992295375
948335,Tabnak,0,off-topic,0.14816246
1145553,Khabaronline,2,new,0.260639182
949322,Tabnak,0,off-topic,0.196653332
1145808,Khabaronline,6,old,0.917141473
166134,Fardanews,0,old,0.951015493
1146246,Khabaronline,0,off-topic,0.330899923
1146264,Khabaronline,1,new,0.200790607
1146265,Khabaronline,10,old,0.995081601
166239,Fardanews,0,off-topic,0.422972442
1146313,Khabaronline,0,old,0.335278294
166391,Fardanews,1,off-topic,0.274514868
1146971,Khabaronline,24,new,0.256187097
950538,Tabnak,0,old,0.940599693
168189,Fardanews,0,new,0.276557259
953969,Tabnak,0,old,1
1149505,Khabaronline,13,old,0.604888645
954031,Tabnak,0,old,0.90135671
954083,Tabnak,2,old,0.963737646
954124,Tabnak,0,old,0.716985818
1149575,Khabaronline,0,off-topic,0.250880204
956850,Tabnak,0,new,0.453413967
956853,Tabnak,0,off-topic,0.333188348
956998,Tabnak,0,new,0.197358144
